Original,Transliteration,Title_in_Spanish,Editor_Director,Language,Country,Place_of_Edition,Address,Editor,Type_of_Publication,Start_Date,End_Date,Frequency,Clasification,Notes,Repository,fotos: azul: Harvard; naranja: NLI; rojo: CJH ,Field 18
Anajnu,,Boletin informativo de la comunidad israelita de Santa Cruz,Francisco Huebsch; Rosita Gruenbaum; Jaime Fajerstain; Cecilia de Fajerstain,español,Bolivia,Santa Cruz,Casilla 3409,Comunidad Israelita de Santa Cruz,bulletin,diciembre 1987,,monthly,comunitaria,,UCLA; NLI,1987 diciembre año 1 no.1,
Anuario de la Asociación Israelita,,,,español,Bolivia,Cochabamba,,Asociación Israelita de Cochabamba,yearbook,,,annual,,nombre anterior: Mitteilungsblatt der Asociación Israelita Cochabamba,,,
Baderej,,En Camino,Jonas Zirulnik,español,Bolivia,Cochabamba,Casilla 349,Asociación Israelita de Cochabamba,magazine,septiembre 2000,,bimonthly,,nombre anterior: Mitteilungsblatt der Asociación Israelita Cochabamba y luego Anuario de la …,UCLA; NLI,2000 septiembre no.1,
"Das Echo.  Die unabhaengige Halbmonatsschrift Boliviens in deutscher Sprache fuer Politik, Kultur und Wirtschaft",,El Eco: revista democratica cultural en idioma aleman,Ludwig K. Stargardt - editor,alemán; español,Bolivia,La Paz,Casilla 2217,Editorial Progreso,newspaper,1948,diciembre 1960,monthly,cultural; democratico,,Center for Jewish History CJH (NY); Institut für Auslandsbeziehungen (IFA),1958 abril año 8 no. 197-181; 1959 año 10 no. 205; ,http://digital.cjh.org/view/action/nmets.do?DOCCHOICE=4728682.xml&dvs=1549228053434~867&locale=en_US&search_terms=&adjacency=&VIEWER_URL=/view/action/nmets.do?&DELIVERY_RULE_ID=2&divType=&usePid1=true&usePid2=true
Die Zeit,,"Die Zeit. Boletin Informativo para la Colectividad
Israelita",Martin Bielski,alemán,Bolivia,Cochabamba,,,newspaper,1948,,biweekly,,,USHMM,1948 no.3,http://cahjp.nli.org.il/webfm_send/1049
Encuentro: boletín informativo de la Comunidad Israelita de La Paz,,,,español,Bolivia,La Paz,,Comunidad Israelita de La Paz,bulletin,,,,,,,,
Informativo  ,,,,español,Chile/Bolivia,Santiago de Chile,,"B'nai B'rith (Chile, Bolivia). Gabinete de Prensa y Difusión",,1980?,,,,,Bib Nac Chile,,
Jüdische Rundschau vom Illimani ,,Semanario para toda la colectividad Israelita en Bolivia, Heinz Ascher,alemán; español,Bolivia,La Paz,,Federación Sionista Unida,newspaper,1947,,,,"Earlier Title: Rundschau vom Illimani (Jahrgang 1, Nr. 1 (4. Juli 1939)-Jahrgang 7, Nr. 350 (9. September 1946))",Center for Jewish History CJH (NY); NLI,"1947, mayo año 1 no.7 (PDF)",
Macabi informa,,,,español,Bolivia,Cochabamba,,Asociación Israelita de Cochabamba,,julio 2000,,biweekly,,,UCLA,,
Macabi leatid :  la revista de la comunidad.,,,Aby Jarmusz,español,Bolivia,La Paz,Calle Landaeta no.346,Club Deportivo Israelita Macabi,magazine,septiembre 1993,,monthly,general,,UCLA; Harvard; HUC; Center for Jewish History CJH (NY); NLI,1993 septiembre año 1 no.1,
"Macabi und Mitteilungsblatt des Landesverbandes
der Jüdischen Gemeinden Boliviens",,,,alemán y español,Bolivia,La Paz,,"Landesverband der
Jüdischen
Gemeinden
Boliviens
",,1943,,,,,USHMM; Wiener Library,"1945, diciembre año 3 no. 35(PDF)", http://cahjp.nli.org.il/webfm_send/1049
Macabilandia,,,,español,Bolivia,La Paz,,Club Deportivo Israelita Macabi,,,,,,,UCLA,,
Mitteilungsblatt der Asociación Israelita Cochabamba,,Hoja informativa,,aleman; español,Bolivia,Cochabamba,Casilla 349 y Casilla,Asociación Israelita de Cochabamba,newspaper,1962,1999,,comunitaria,continua como: Baderej,USHMM; UCLA; HUC; NLI,1962 septiembre no.5,
Pensamientos para Shabat ,,,,español,Bolivia,Cochabamba,,Asociación Israelita de Cochabamba,,,,weekly,,,UCLA,,
Rundschau vom Illimani : bolivianische Wochenzeitung in deutscher Sprache,,Semanario para toda la colectividad Israelita en Bolivia,Dr. Heinz Ascher - editor,alemán,Bolivia,La Paz,,Federación Sionista Unida,newspaper,julio 1939,julio 1946,weekly,antifascista; sociaista,continua con el nombre de: Jüdische Rundschau vom Illimani ,Harvard; Cornell; Yale; USHMM; Center for Jewish History CJH (NY) ; Brill[1(1939): no.18 ]; Friedrich-Ebert-Stiftung,"1939, julio año 1 no.1 (PDF)",
Voz anual de la Asociacion Israelita de Cochabamba,,,,Español,Bolivia,Cochabamba,,Asociación Israelita de Cochabamba,,1983,,,,,USHMM,"1983, septiembre no.23 (PDF)",
אונזער שטימע,Unzer shtime,,,idish,Bolivia,La Paz,,,newspaper,1943,,,,,Yivo; Center for Jewish History CJH (NY),,
באליוויאנער ווארט : פעריאדישע אויסגאבע ,Bolivyaner vort : peryodishe oysgabe,,,idish,Bolivia,La Paz,,Círculo Israelita,newspaper,1942,,,,,Center for Jewish History CJH (NY),,
