Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Anajnu,,Boletin informativo de la comunidad israelita de Santa Cruz,Francisco Huebsch; Rosita Gruenbaum; Jaime Fajerstain; Cecilia de Fajerstain,Español,Bolivia,Santa Cruz,Casilla 3409,Comunidad Israelita de Santa Cruz,Boletín,diciembre 1987,12,XX,1987,,,,,,/,monthly,comunitaria,,UCLA; NLI
Anuario de la Asociación Israelita,,,,Español,Bolivia,Cochabamba,,Asociación Israelita de Cochabamba,yearbook,,,,,,,,,,/,annual,,nombre anterior: Mitteilungsblatt der Asociación Israelita Cochabamba,
Baderej,,En Camino,Jonas Zirulnik,Español,Bolivia,Cochabamba,Casilla 349,Asociación Israelita de Cochabamba,Revista,septiembre 2000,09,XX,2000,,,,,,/,bimonthly,,nombre anterior: Mitteilungsblatt der Asociación Israelita Cochabamba y luego Anuario de la …,UCLA; NLI
"Das Echo.  Die unabhaengige Halbmonatsschrift Boliviens in deutscher Sprache fuer Politik, Kultur und Wirtschaft",,El Eco: revista democratica cultural en idioma aleman,Ludwig K. Stargardt - editor,"Español,Alemán",Bolivia,La Paz,Casilla 2217,Editorial Progreso,Diario,1948,XX,XX,1948,,diciembre 1960,12,XX,1960,,monthly,cultural; democratico,,Center for Jewish History CJH (NY); Institut für Auslandsbeziehungen (IFA)
Die Zeit,,"Die Zeit. Boletin Informativo para la Colectividad
Israelita",Martin Bielski,Alemán,Bolivia,Cochabamba,,,Diario,1948,XX,XX,1948,,,,,,/,biweekly,,,USHMM
Encuentro: boletín informativo de la Comunidad Israelita de La Paz,,,,Español,Bolivia,La Paz,,Comunidad Israelita de La Paz,Boletín,,,,,,,,,,,,,,
Informativo  ,,,,Español,"Bolivia,Chile",Santiago de Chile,,"B'nai B'rith (Chile, Bolivia). Gabinete de Prensa y Difusión",,1980?,XX,XX,1980,?,,,,,/,,,,Bib Nac Chile
Jüdische Rundschau vom Illimani ,,Semanario para toda la colectividad Israelita en Bolivia, Heinz Ascher,"Alemán,Español",Bolivia,La Paz,,Federación Sionista Unida,Diario,1947,XX,XX,1947,,,,,,/,,,"Earlier Title: Rundschau vom Illimani (Jahrgang 1, Nr. 1 (4. Juli 1939)-Jahrgang 7, Nr. 350 (9. September 1946))",Center for Jewish History CJH (NY); NLI
Macabi informa,,,,Español,Bolivia,Cochabamba,,Asociación Israelita de Cochabamba,,julio 2000,07,XX,2000,,,,,,/,biweekly,,,UCLA
Macabi leatid :  la revista de la comunidad.,,,Aby Jarmusz,Español,Bolivia,La Paz,Calle Landaeta no.346,Club Deportivo Israelita Macabi,Revista,septiembre 1993,09,XX,1993,,,,,,/,monthly,general,,UCLA; Harvard; HUC; Center for Jewish History CJH (NY); NLI
"Macabi und Mitteilungsblatt des Landesverbandes
der Jüdischen Gemeinden Boliviens",,,,"Alemán,Español",Bolivia,La Paz,,"Landesverband der
Jüdischen
Gemeinden
Boliviens
",,1943,XX,XX,1943,,,,,,/,,,,USHMM; Wiener Library
Macabilandia,,,,Español,Bolivia,La Paz,,Club Deportivo Israelita Macabi,,,,,,,,,,,,,,,UCLA
Mitteilungsblatt der Asociación Israelita Cochabamba,,Hoja informativa,,"Alemán,Español",Bolivia,Cochabamba,Casilla 349 y Casilla,Asociación Israelita de Cochabamba,Diario,1962,XX,XX,1962,,1999,XX,XX,1999,,,comunitaria,continua como: Baderej,USHMM; UCLA; HUC; NLI
Pensamientos para Shabat ,,,,Español,Bolivia,Cochabamba,,Asociación Israelita de Cochabamba,,,,,,,,,,,,weekly,,,UCLA
Rundschau vom Illimani : bolivianische Wochenzeitung in deutscher Sprache,,Semanario para toda la colectividad Israelita en Bolivia,Dr. Heinz Ascher - editor,Alemán,Bolivia,La Paz,,Federación Sionista Unida,Diario,julio 1939,07,XX,1939,,julio 1946,07,XX,1946,,weekly,antifascista; sociaista,continua con el nombre de: Jüdische Rundschau vom Illimani ,Harvard; Cornell; Yale; USHMM; Center for Jewish History CJH (NY) ; Brill[1(1939): no.18 ]; Friedrich-Ebert-Stiftung
Voz anual de la Asociacion Israelita de Cochabamba,,,,Español,Bolivia,Cochabamba,,Asociación Israelita de Cochabamba,,1983,XX,XX,1983,,,,,,/,,,,USHMM
אונזער שטימע,Unzer shtime,,,Idish,Bolivia,La Paz,,,Diario,1943,XX,XX,1943,,,,,,/,,,,Yivo; Center for Jewish History CJH (NY)
באליוויאנער ווארט : פעריאדישע אויסגאבע ,Bolivyaner vort : peryodishe oysgabe,,,Idish,Bolivia,La Paz,,Círculo Israelita,Diario,1942,XX,XX,1942,,,,,,/,,,,Center for Jewish History CJH (NY)
,,,,,,,,,,,,,,,,,,,,,,,
