Titulo Original,Transliteración,Titulo en Portugués,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
A Columna,Ha-`amud,Orgão dos interesses do povo Judeu no Brasil,David Pérez & Álvaro de Castilho,,,,,,Revista,14 de janeiro de 1916,01,14,1916,,1917,XX,XX,1917,,,Sionista,,HUC
A congregaçao ,,informativo trimestral da Associaçao Religiosa Israelita do Rio de Janeiro,Bia Bach - coordinadora,Portugués,Brasil,Rio de janeiro ,Rua General Severiano 170,Associaçao Religiosa Israelita do Rio de Janeiro,Revista,marzo 1993,03,XX,1993,,,,,,/,quarterly,Comunitaria,,NLI
A Folha do Rabinato,,,,Portugués,Brasil,Rio de janeiro ,,Rabinato do Rio,,,,,,,,,,,,,,,Bib. Nac. Brasil
A Hebraica,,,Jose Knoplich,Portugués,Brasil,São Paulo,,"Associação Brasileira ""A Hebraica"" de São Paulo",Revista,1960?,XX,XX,1960,?,,,,,/,monthly,,titulo anterior: Hebraica em revista,Harvard; Center for Jewish History CJH (NY); LoC; NYPL; HUC
A Ilustracao Israelita,,,Adolfo Aizen,Portugués,Brasil,Rio de janeiro ,,,Revista,1928,XX,XX,1928,,,,,,/,,,,
A Luz,,,,Portugués,Brasil,Rio de janeiro ,,Centro Sionista da Juventude Sefaradi do Brasil,,abril 1950,04,XX,1950,,,,,,/,,Sionista,,"Umichigan, HUC"
A nova geraçao  ,,,Abrahao Fainguelernt; Alberto Dines; Anatoli Rosenfeld; Beno Melnitzky; Hella Moritz; Israel Fainguelernt; Mily Teperman & Miriam Grinbaum - redactores,Portugués,Brasil,Rio de janeiro ,"Av. Rio Branco, 114",Organização Sionista Unificada do Brasil,Revista,1954?,XX,XX,1954,?,,,,,/,,Sionista,,NLI
A Pioneira : revista da organização das Pioneiras,,,,Portugués,Brasil,São Paulo,,Naʻamat ,,(set./out. 1956,9-10,XX,1956,~,1976,XX,XX,1976,,,Sionista,,"HUC, NLI"
A Pioneira : revista das Pioneiras-Na'amat,,,,Portugués,Brasil,São Paulo,,Na'amat,,1977,XX,XX,1977,,,,,,/,,Sionista,,HUC
Ação : revista de três mundos,,,,Portugués,Brasil,Brasilia,"ART-COMP, Editora Comunicação, Publicidade e Arte Ltda.",,,agosto 1982,08,XX,1982,,,,,,/,,Sionista,,Utexas
Achdut informa : boletim informativo do Templo Uniao Israel ,,,,Portugués,Brasil,Rio de janeiro ,Templo Uniao Israel ,,,2000,XX,XX,2000,,,,,,/,,Religioso,,Bib. Nac. Brasil
"Al hamishmar :
porta voz da colectividade israelita",על המשמר,,Arao Berezovsky,Portugués,Brasil,Rio de janeiro ,Rua Real Grandeza 188,Mapam - Editora Beit M. Anilevich,Diario,1957,XX,XX,1957,,,,,,/,biweekly,Sionista,,HUC; NLI
ALEF : o jornal da comunidade judaica do Rio de Janeiro ,,,,Portugués,Brasil,Rio de janeiro ,,,,1995,XX,XX,1995,,,,,,/,Mensual,,,Bib. Nac. Brasil
ALEF : o jornal da comunidade judaica do Rio de Janeiro  copy,,,,Portugués,Brasil,Rio de janeiro ,,,,1995,XX,XX,1996,,,,,,/,bimestral,,,Bib. Nac. Brasil
Aleinu,,,Gabriel Toueg - editor,Portugués,Brasil,São Paulo,,,Revista,diciembre 2000,12,XX,2000,,,,,,/,,Juventud,,LoC; NLI
Aliaton,,,,Portugués,Brasil,Rio de janeiro ,,Organização Sionista unificada do Rio de Janeiro,,1900?,XX,XX,1900,?,,,,,/,,Sionista,,Harvard
Almanack Israelita : Israel no passado e no presente,,,Azevedo Amaral 1881-,Portugués,Brasil,Rio de janeiro ,,,Calendario,1937,XX,XX,1937,,,,,,/,anual,Almanaque,,Center for Jewish History CJH (NY)
Alyah letorah : a revista do judaismo vivo ,,,,Portugués,Brasil,Brasilia,,Associação Israelita de Restauracao Profetica e Preparacao Messianica,,2000,XX,XX,2000,,,,,,/,,,,Bib. Nac. Brasil
Amazônia judaica,,,David Salgado Filho - director,Portugués,Brasil,Belem,"Av. Gentil Bittencourt, 378/303",Comité Israelita do Amazônas,Revista,marzo 2002,03,XX,2002,,,,,,/,monthly,Cultural,,HUC; UTexas; NLI
Aonde vamos?,,Revista judaica independente,Sabath Karakuschansky & Aron Neumann,Portugués,Brasil,Rio de janeiro ,"R. 7 de setembro, 217",,Revista,193?,XX,XX,193X,,1975?,XX,XX,1975,?,weekly,Cultural,,Stanford; LoC; Center for Jewish History CJH (NY); HUC; Emory; Harvard; NYPL; Stony Brook Univ; Agencia Española de Cooperacion Interna; NLI; Arquivo Histórico Judaico Brasileiro
Arquivo Maaravi,,,"Lyslei Nascimento (UFMG, Brasil); Eduardo França Paiva (UFMG, Brasil) e Christiane Stallaert (Universidade da Antuérpia, Bélgica)",Portugués,Brasil,Belo Horizonte,,Estudos Judaicos da  Universidade Federal de Minas Gerais ,Revista,2007,XX,XX,2007,,,,,,/,semestral ,Judaica,online,online
ASA judaismo e progressismo : órgão informativo e de divulgação da Associação Sholem Aleichem de Cultura e Recreação ,,,,Portugués,Brasil,Rio de janeiro ,,Associação Scholem Aleichem de Cultura e Recreação,,1989?,XX,XX,1989,?,,,,,/,bimestral,,,Bib. Nac. Brasil
Aurora,,,,Portugués,Brasil,Recife,,Organização Sionista Unificada do Brasil,,,,,,,,,,,/,,Sionista,,Harvard
B'nai B'rith informe mensal,,,,Portugués,Brasil,,,B'nai B'rith,Boletin,,,,,,,,,,/,,Comunitaria,,Harvard
Boletim,,,Mauro Wainstock - director,Portugués,Brasil,Rio de janeiro ,Rua General Severiano 170,Associação Religiosa Israelita,Revista,1995 agosto,08,XX,1995,,,,,,/,,Comunitaria,,NLI
Boletin,,,,Español,Brasil,Rio de janeiro ,,Associação Religiosa Israelita,,1957,XX,XX,1957,,1963,XX,XX,1963,,monthly,,Superseded by a journal with the same title,"Univ. Florida, NYPL, HUC"
Boletim,,,,Portugués,Brasil,Belo Horizonte,,Instituto Histórico Israelita Mineiro,,abril/maio/junho 1997,04-05-06,XX,1997,~,,,,,/,quarterly,,,UCLA; NLI
Boletim da Uniao Israelita Shel Guemilut Hassadim,,,,Portugués,Brasil,Rio de janeiro ,,Uniao Israelita Shel Guemilut Hassadim,Boletin,1983,XX,XX,1983,,,,,,/,,Religioso,,Bib. Nac. Brasil
Boletim informativo,,,,Portugués,Brasil,Porto Alegre,"Rua Gal. João Telles, 508 ",Associação Israelita. Circulo Social e esportivo israelita,Boletin,199?,XX,XX,199X,,,,,,/,,Comunitaria,,Harvard
Boletim informativo Hebraica-Rio ,,,,Portugués,Brasil,Rio de janeiro ,,"Hebraica Sociedade Cultural, Esportiva e Recreativa",,1900?,XX,XX,1900,?,,,,,/,monthly,,,Harvard; UCLA
Boletim informativo ,,,,Portugués,Brasil,São Paulo,,Arquivo Histórico Judaico Brasileiro,Boletin,julio 1996,07,XX,1996,,,,,,/,bimestral,,,Harvard; Center for Jewish History CJH (NY); Bib. Nac. Brasil
Boletim interno,,,,"Alemán,Portugués",Brasil,Rio de janeiro ,,Associação Religiosa Israelita do Rio de Janeiro ,Boletin,1942?,XX,XX,1942,?,,,,,/,,Comunitaria,,Center for Jewish History CJH (NY)
Boletim Merkaz  ,,,,Portugués,Brasil,São Paulo,,Wizo ,Boletin,agosto 1972,08,XX,1972,,,,,,/,irreguar,Mujeres,,NLI
Boletin mensal,,,,Portugués,Brasil,Rio de janeiro ,,União Associação Beneficente Israelita,,1900s,XX,XX,1900,%,,,,,/,monthly,,,HUC
Brasil-Israel : parcerias & perspectivas,,,,Portugués,Brasil,São Paulo,,Cámara Brasil-Israel de Comércio e Indústria,yearbook,1994,XX,XX,1994,,2012,XX,XX,2012,,anual,Industria y Comercio,,Harvard; LoC; NYPL; HUC; Center for Jewish History CJH (NY); Bib. Nac. Brasil; 
Caderno cultural Na'amat - Pioneiras,,,Fela Mester - directora,Portugués,Brasil,São Paulo,"Rua Barra do Tibagy, 444",Naamat de Brasil,Revista,199?,XX,XX,199X,,,,,,/,,Mujeres,,IWO; NLI; Bib. Nac. brasil
"Cadernos de língua e literatura hebraica : publicação do Curso de Pós-Graduação de Língua Hebraica, Literatura e Cultura Judaicas- FFLCH-USP",,,,Portugués,Brasil,São Paulo,,"Universidade de São Paulo. Curso de Pós-Graduação de Língua Hebraica,",,1998,XX,XX,1998,,,,,,/,,Literatura,,Harvard; Center for Jewish History CJH (NY); LoC; UCLA; HUC…; Bib. Nac. Brasil
Carta Mensal,,,,Portugués,Brasil,São Paulo,,Sociedade Genealógica Judaica do Brasil,,agosto 1988,08,XX,1988,,,,,,/,,Genealogía,,http://www.cbg.org.br/novo/carta-mensal/
Cartas médicas,,,,Portugués,Brasil,São Paulo,,Capítulo Brasileiro da Associação Médica de Israel ,,1976,XX,XX,1976,,,,,,/,,Medicina,,UCLA; Harvard; 
Centro Comunitario Tzavta,,,,Portugués,Brasil,Rio de janeiro ,"Rua das Palmeiras, 54",Centro Comunitário Tzavta,,1990s,XX,XX,199X,,,,,,/,,,,Harvard
CEPI news,,,,Español,Brasil,São Paulo,,Departamento de Educação da Agência Judaica,,2000,XX,XX,2000,,,,,,/,,,,Harvard
Chabad news ,,,,Portugués,Brasil,São Paulo,"Rua Giacomo Garrini, 9",Beit Chabad,Boletin,marzo 1974 ,03,XX,1974,,,,,,/,monthly,Jabad,,NLI; Bib. Nac. Brasil
Chai or Israel ,,Revista escrita por alunos e professores da escola Or Israel College ,,Portugués,Brasil,São Paulo,, Or Israel College ,Revista,200?,XX,XX,200X,,,,,,/,,Educación,,Bib. Nac. Brasil
Chevra Kadisha informa,,,,Portugués,Brasil,São Paulo,,"Sociedade Cemitério Israelita de São Paulo-""Chevra Kadisha""",,,,,,,,,,,,,,,
CIAMhoje ,,,,Portugués,Brasil,São Paulo,,Centro Israelita de Assistencia ao Menor ,,1998?,XX,XX,1998,?,,,,,/,,,,Bib. Nac. Brasil
Circular,,,,Portugués,Brasil,São Paulo,"Av. Paulista , 726",Confederacao Israelita do Brasil  ,Boletin,197?,XX,XX,197X,,,,,,/,irregular,Comunitaria,,NLI
Com Shalom,,,,Portugués,Brasil,São Paulo,,Town ed,,1998?,XX,XX,1998,?,,,,,/,weekly,,"Continues: Semana (São Paulo, Brazil)",Harvard
Comentário ,,,Marcos Margulies,Portugués,Brasil,Rio de janeiro ,,Instituto Brasileiro Judaico de Cultura e Divulgação,,1960,XX,XX,1960,,,,,,/,trimestral,,tomado de American Jewish Year Book v.63 (1962) p.480,Bib. Nac. Brasil
Comunicação : boletim da Federacao Israelita do Estado de Sao Paulo ,,,,Portugués,Brasil,São Paulo,"Avenida Paulista, 726",Federacao Israelita do Estado de Sao Paulo ,Boletin,1974?,XX,XX,1974,?,,,,,/,monthly,General,,NLI; Bib. Nac. Brasil
Corrente ,,,,Portugués,Brasil,São Paulo,,Wizo ,,1947,XX,XX,1947,,,,,,/,,Sionista,,"UCLA; Harvard; HUC; Utexas, NLI"
Conexão Israel,,,,Portugués,Brasil,,,,,2010?,XX,XX,2010,?,,,,,/,,,,http://www.conexaoisrael.org/ 
"Correio israelita :
semanario israelita brasileiro",,,,Portugués,Brasil,Rio de janeiro ,,,,march 1922,03,XX,1922,,january 1923?,12,XX,1923,?,,,,NLI
Corrente Wizo ,,,,Portugués,Brasil,São Paulo,,Organizacao Feminina Wizo,,1996?,XX,XX,1996,?,,,,,/,,Sionista,,Bib. Nac. Brasil
Crônica Israelita,,,Adolfo Flaks - editor,Portugués,Brasil,São Paulo,"Rua Brigadeiro Galvio, 181",Congregacao Israelita Paulista,Diario,septiembre 1938,09,XX,1938,,1969,XX,XX,1969,,biweekly,,tomado de American Jewish Year Book v.63 (1962) p.480; v.71 p.385,Harvard; NYPL; NLI; Arquivo Histórico Judaico Brasileiro
"CTT :
órgāo oficial da 4a série ginasial",,,,Portugués,Brasil,Rio de janeiro ,,,,1940s,XX,XX,194X,,,,,,/,,,,Harvard
Dapim latnuá,,,,Portugués,,,,Ichud Hanoar Hachalutzi,Revista,,,,,,,,,,,,Sionista,,Harvard
Der Jugendfreund ,,,,Alemán,Brasil,Blumenau,,,,,,,,,,,,,,,,,Bib. Nac. Brasil
Devarim,,,,Portugués,Brasil,Rio de janeiro ,,Associaçao Religiosa Israelita do Rio de Janeiro,Revista,2006,XX,XX,2006,,,,,,/,,,,Harvard
Di : diario israelita ,,,Jacob Parnes - fundador; Milton Parnes - redactor,Portugués,Brasil,Rio de janeiro ,"Caixa Postal, 2313",Diario Israelita,Diario,1951?,XX,XX,1951,?,,,,,/,weekly,General,,NLI
Diálogos : revista da CIP,,,,Portugués,Brasil,São Paulo,,Congregação Israelita Paulista,,Abril/Mayo 2015,04-05,XX,2015,~,,,,,/,,General,,
diario israelita,,,,Portugués,Brasil,Rio de janeiro ,,Diario Israelita,,1952,XX,XX,1952,,,,,,/,,,,NLI
Diaspora : revista do Programa de Estudos Judaicos UERJ ,,,,Portugués,Brasil,Rio de janeiro ,,Universidade do Estado do Rio de Janeiro,Revista,2001,XX,XX,2001,,,,,,/,anual,,,Bib. Nac. Brasil
Ecos da semana,,,,Portugués,Brasil,São Paulo,,"
B'nai Brith-distrito 25",,1975?,XX,XX,1975,?,,,,,/,,,,Harvard
El Djudió : informativo do Centro Hebraico Riograndense ,,,,Portugués,Brasil,Porto Alegre,,Centro Hebraico Riograndense,,2010,XX,XX,2010,,,,,,/,monthly,Sefaradies,,UCLA; Bib. Nac. Brasil
Emdah,,,,Portugués,Brasil,Belem,,Brazil Communidade Israelita Belem,,septiembre 1980,09,XX,1980,,,,,,/,,,,NLI
Emda,,Órgão Informativo,Yasha Chammah - editor,Portugués,Brasil,São Paulo,,Movimento Juvenil Netzah Israel,Revista,197?,XX,XX,197X,,,,,,/,,Juventud,,NLI
Encontro : por um Sionismo Progressista,,,,Portugués,Brasil,São Paulo,,Associação Cultural Moderchai Anilevich ; Kibuts Artsi Hashomer Hatzair,,1984,XX,XX,1984,,1987,XX,XX,1987,,,Sionista,,Center for Jewish History CJH (NY)
