Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
A.J.I. (Asociación de Jóvenes Israelitas ),,Boletín Informativo,,Español,Chile,Santiago de Chile,, órgano oficial de la Juventud Israelita de Chile,Diario,mayo 1931,05,XX,1931,,,,,,/,,,,Bib Nac Chile
Alim,,,,"Español,Hebreo",Chile,Santiago de Chile,,órgano del Hanoar Hazioni,,octubre 1954,10,XX,1954,,diciembre 1955,12,XX,1955,,,,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
Alma Hebrea : revista literaria-cultural,,,Isaac de Mayo ,Español,Chile,Temuco,Casilla 195,Unión juventud Judía,Revista,julio 1931,07,XX,1931,,julio 1935,07,XX,1935,,monthly,literaria; sefaradi,"tomado de : Nes el, Moshe y Toldot 2000 no.13 p.24",Harvard; NYPL; NLI; Bib Nac Chile
Alutz,,,,Español,Chile,Santiago de Chile,,Federación Juvenil Sionista,,,,,,,,,,,,,,,Harvard
Anajnu.cl: EL portal judio de Chile,,,,Español,Chile,Santiago de Chile,,,,,,,,,,,,,,,,,http://www.anajnu.cl/ 
Atid : noticiario del Instituto Hebreo y Vaad Hajinuj.,,,Silvia Selowsky - ed,Español,Chile,Santiago de Chile,Jose Pedro Alessandri 1242,Instituto Hebreo y Vaad Hajinuj,Boletín,1986,XX,XX,1986,,,,,,/,monthly,educación,,IWO; NLI
Baderej,,,los alumnos,Español,Chile,Viña del Mar,,Colegio Hebreo,Boletín,19?,XX,XX,19XX,,,,,,/,anual,escolar,,NLI
"
Beit Sifri",,,Nicolas Kunsemuller,Español,Chile,Santiago de Chile,, Instituto Hebreo Comprensivo Jaim Weitzman - O.R.T.,Revista,1983,XX,XX,1983,,,,,,/,,escolar,,Harvard
Boletín Acción Unida pro Israel,,,,Español,Chile,,Serrano 202,Accion Unida pro Israel,Boletín,septiembre 1949,09,XX,1949,,,,,,/,,sionista,,Harvard
Boletín,,,,Español,Chile,Santiago de Chile,Avenida Miguel Claro 196,Campaña Magbit,Boletín,julio 1961,07,XX,1961,,,,,,/,,,,Harvard
Boletín,,,"Robert Levy - dir, Jacobo Lerner, Rafael Pliscoff, Aron Joel & David Ilevicki",Español,Chile,Santiago de Chile,Casilla 10-D,Instituto Chileno-Israelí de Cultura,Boletín,1951,XX,XX,1951,,,,,,/,quarterly,sionista,,Harvard
Boletín de Informaciones del Círculo Israelita,,,,Español,Chile,Santiago de Chile,,Círculo Israelita,,diciembre 1940,12,XX,1940,,1941,XX,XX,1941,,,,,Bib Nac Chile
Boletín de la Federación Sionista de Chile,,,,Español,Chile,Santiago de Chile,Casilla 5007,Federación Sionista de Chile,Diario,12 mayo 1932,05,12,1932,,1934?,XX,XX,1934,?,monthly,sionista,tomado de : Nes el,NLI; Bib Nac Chile
Boletín del 2 de noviembre,,,,Español,Chile,Santiago de Chile,,,,november 1930,11,XX,1930,,,,,,/,,sionista,,Bib Nac Chile
