Titulo_Original,Transliteración,Titulo en Español,Editor/Director,Idioma,Pais,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicioss,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Frecuencia,Clasificación,Notas,Ubicación,fotos: azul: Harvard; naranja: NLI
Anuario ,,,,Español,Colombia,Bogotá,,Colegio Colombo Hebreo,annual,1900s,,,,,,,,,educación,,Harvard,
Baken,,,,,Colombia,Bogotá,,Hashomer Hatzair,,1900s,,,,,,,,,sionista socialista,,Center for Jewish History CJH (NY) ,
Boletín ,,, Marcos Peckel,Español,Colombia,Bogotá,,Confederación de Comunidades Judìas de Colombia,bulletin digital,2008?,,,2008?,,,,,weekly,comunitario,,http://ccjcolombia.org/?op=Home ,
Boletín comunitario,,,,Español,Colombia,Bogotá,,Centro Israelita de Bogotá,bulletin ,1968,,,1968,1973,XX,XX,1973,,comunitario,,Harvard; NLI,
Boletin informativo,,,,Español,Colombia,Bogotá,,"B'nai B'rith. Distrito XXIII, Oficina de Relaciones Humanas",bulletin,198?,,,198X,,,,,,,,Harvard,
Boletin informativo,,,,Español,Colombia,Barranquilla,,B'nai B'rith Logia Concordia,bulletin,1900?,,,1900?,,,,,,,,Harvard,
Boletín informativo,,,,Español,Colombia,Bogotá,,Centro Israelita de Bogotá,bulletin,oct/nov 1993,,,,,,,,bimonthly,,Earlier Title: Informativo (Centro Israelita de Bogotá); Later Title: Informativo C.I.B.,Harvard; UCLA;  ,
Boletin informativo,,,,Español,Colombia,Bogotá,,Colegio Colombo Hebreo,bulletin,1950s,,,,,,,,,educación,,Harvard,
Boletin informativo,,,,Español,Colombia,Bogotá,,Federacion de Comunidades Hebreas de Colombia,bulletin,197?,,,197X,,,,,,,,Harvard; Center for Jewish History CJH (NY),
Boletin informativo,,,,Español,Colombia,Bogotá,,Federación Sionista de Colombia,bulletin,200?,,,200X,,,,,,,,Harvard,
Calendario hebreo,,,,Español,Colombia,Bogotá,,Comunidad Hebrea Sefaradí Centro Israelita de Bogotá,,1900s,,,,,,,,annual,,,UCLA,
Comentarios,,,,Español,Colombia,Cali,,"B'nai B'rith. Distrito XXIII, Caribe",,1980s,,,,,,,,,,,Harvard,
Comunicacción,,,,Español,Colombia,Bogotá,,"B'nai B'rith Distrito XXIII, ",,1900s,,,,,,,,,,,Harvard,
Das Blatt,,Revista familiar quincenal. Hoja de información interna,Ernesto Elsner,"Español,Alemán",Colombia,Bogotá,Carrera 23,Asociación Israelita Montefiore,magazine,october 1938,10,,1938,,,,,quarterly,,,NYPL; UCLA; HUC; Harvard; Center for Jewish History CJH (NY); UFlo; NLI; Wiener Library,1946 noviembre año 8 no. 170
Das Blatt,,informes comunitarios de la Asociación Israelita Montefiore,,Español,Colombia,Bogotá,,Asociación Israelita Montefiore,,,,,,,,,,,,,NYPL; HUC; UCLA; Center for Jewish History CJH (NY),
