Titulo_Original,Transliteración,Titulo en Español,Editor/Director,Idioma,Pais,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Mes de Inicio,Día de Inicio,Año de Inicio,Inicio Modificador,Mes de Cese,Día de Cese,Año de Cese,Cese Modificador,Frecuencia,Clasificación,Notas
Anuario ,,,,Español,Colombia,Bogotá,,Colegio Colombo Hebreo,annual,XX,XX,1900,%,,,,/,,educación,
Baken,,,,,Colombia,Bogotá,,Hashomer Hatzair,,XX,XX,19XX,,,,,/,,sionista socialista,
Boletín ,,, Marcos Peckel,Español,Colombia,Bogotá,,Confederación de Comunidades Judìas de Colombia,bulletin digital,XX,XX,2008,?,,,,/,weekly,comunitario,
Boletín comunitario,,,,Español,Colombia,Bogotá,,Centro Israelita de Bogotá,bulletin ,XX,XX,1968,,XX,XX,1973,,,comunitario,
Boletin informativo,,,,Español,Colombia,Bogotá,,"B'nai B'rith. Distrito XXIII, Oficina de Relaciones Humanas",bulletin,XX,XX,198X,,,,,/,,,
Boletin informativo,,,,Español,Colombia,Barranquilla,,B'nai B'rith Logia Concordia,bulletin,XX,XX,1900,?,,,,/,,,
Boletín informativo,,,,Español,Colombia,Bogotá,,Centro Israelita de Bogotá,bulletin,11,XX,1993,,,,,/,bimonthly,,Earlier Title: Informativo (Centro Israelita de Bogotá); Later Title: Informativo C.I.B.
Boletin informativo,,,,Español,Colombia,Bogotá,,Colegio Colombo Hebreo,bulletin,XX,XX,195X,,,,,/,,educación,
Boletin informativo,,,,Español,Colombia,Bogotá,,Federacion de Comunidades Hebreas de Colombia,bulletin,XX,XX,197X,,,,,/,,,
Boletin informativo,,,,Español,Colombia,Bogotá,,Federación Sionista de Colombia,bulletin,XX,XX,200X,,,,,/,,,
Calendario hebreo,,,,Español,Colombia,Bogotá,,Comunidad Hebrea Sefaradí Centro Israelita de Bogotá,,XX,XX,19XX,,,,,/,annual,,
Comentarios,,,,Español,Colombia,Cali,,"B'nai B'rith. Distrito XXIII, Caribe",,XX,XX,198X,,,,,/,,,
Comunicacción,,,,Español,Colombia,Bogotá,,"B'nai B'rith Distrito XXIII, ",,XX,XX,19XX,,,,,/,,,
Das Blatt,,Revista familiar quincenal. Hoja de información interna,Ernesto Elsner,"Español,Alemán",Colombia,Bogotá,Carrera 23,Asociación Israelita Montefiore,magazine,10,XX,1938,,,,,/,quarterly,,
Das Blatt,,informes comunitarios de la Asociación Israelita Montefiore,,Español,Colombia,Bogotá,,Asociación Israelita Montefiore,,,,,,,,,,,,
Ecos,,,,Español,Colombia,Barranquilla,,Comunidad Hebrea de Barranquilla,,XX,XX,1960,,XX,XX,1983,,,,
El Amanecer,,Vocero de las colectividades Hebreas de Colombia,,Español,Colombia,Bogotá,,,,,,,,,,,,,,
El CIB si hace! : organo informativo del Centro Israelita de Bogotá,,,,Español,Colombia,Bogotá,,Centro Israelita de Bogotá,,03,XX,1991,,,,,/,monthly,,luego: Informativo CIB
El mundo en esta semana,,,,Español,Colombia,Bogotá,,B'nai B'rith de su Consejo Internacional con su Distrito XXIII para lideres communitarios,,XX,XX,19XX,,,,,/,,,
En breve: informaciones internacionales,,,,Español,Colombia,Bogotá,,"B'nai B'rith. Distrito XXIII, Caribe",,XX,XX,19XX,,,,,/,,,
"Enfoque [ o Club Social ""CIF""]",,,,Español,Colombia,Barranquilla,,Comunidad Judía de Barranquilla,bulletin,XX,XX,1986,,,,,/,monthly,institucional,
Fundación Hillel,,,,Español,Colombia,Bogotá,,Fundación Hillel de la B'nai B'rith,,XX,XX,1971,,,,,/,,juventud,
Futuro,Atid,,Salvador Rozental - director,Español,Colombia,Bogotá,Calle 18 no.8-19,,magazine,03,XX,1944,,,,,/,monthly,general,
Hashavua : revista virtual,,,Raquel Goldshmidt,Español,Colombia,Bogotá,,,,,,,,,,,/,,comunitario,
Informativo,,,,Español,Colombia,Bogotá,,Centro Israelita de Bogotá,bulletin,XX,XX,19XX,,XX,XX,1993,,,,
Informativo C.I.B.,,,,Español,Colombia,Bogotá,,Centro Israelita de Bogotá,bulletin,02,XX,1996,,,,,/,,,antes: El CIB si hace!; luego: Informativo
Israel,,,,Español,Colombia,Bogotá,,"Juventud Sionista ""Negba""",,XX,XX,1949,,,,,/,,juventud sionista,
Israel : revista Israel y Colombia,,,,Español,Colombia,Cali,,Ediciones Mundo Libre,magazine,XX,XX,1972,,,,,/,,,
Kojavim,,Estrellitas,,Español,Colombia,Bogotá,,Colegio Hebreo Unión,,,,,,,,,,,educación,
Kol ha-no`ar = Voz de la juventud,,Voz de la juventud. Organo informativo de la juventud judia de Colombia,,Español,Colombia,Bogotá,,C.U.H.,,XX,XX,1975,,,,,/,,juventud,
Kol Macabi : organo de difusion de Macabi Colombia,,,,Español,Colombia,Bogotá,,Macabi Colombia ,,XX,XX,19XX,,,,,/,,juventud,
La Bandera,,,,Español,Colombia,Bogotá,,Centro Juvenil Sionista Maccabi Hazair,,XX,XX,1945,,,,,/,monthly,juventud,
"La Revista sionista, revista de dos mundos",,,,Español,Colombia,Bogotá,,Federación Sionista de Colombia,,XX,XX,1945,,XX,XX,1948,?,weekly,sionismo,
La Sefaradi habla,,,,Español,Colombia,Bogotá,,Agrupación de Damas Sefaradi,,XX,XX,20XX,,,,,/,,mujeres,
La voz,,órgano judío al servico de la libertad y la democracia,,Español,Colombia,Bogotá,,,,02,XX,1943,,,,,/,,,
La voz del alumno,,,,Español,Colombia,Bogotá,,Colegio Colombo Hebreo,,XX,XX,195X,,,,,/,,educación,
La Voz del Caminante,,,,Español,Colombia,Medellín,Colegio Theodoro Hertzl ,,,XX,XX,1975,,,,,/,,educación,
"Libertad : órgano del Centro Juvenil Sionista, Macabi.",,,,Español,Colombia,Cali,,"Centro Juvenil Sionista, Macabi",,XX,XX,1943,,XX,XX,1948,?,,,
Lo nuestro: organo estudiantil del Colegio Hebreo Union,,,Ulises Consuegra,Español,Colombia,Barranquilla,,"
Colegio Hebreo Unión",bulletin,02,XX,1988,,,,,/,,escolar,
Maguen: revista de la Comunidad Hebrea Sefaradi de Bogotá,,,,Español,Colombia,Bogotá,,Comunidad Hebrea Sefaradi de Bogotá,,09,XX,1991,,,,,/,c/2 meses,Sefaradies,
Menorah,,revista noticiosa quincenal,,Español,Colombia,Bogotá,Calle 23  no.14-35,,magazine,08,XX,1950,,XX,XX,1995,,biweekly,,
Nexos,,,,Español,Colombia,Cali o Bogota?,,Centro Universitario Hebreo,,XX,XX,1970,?,,,,/,,,
"Noti Hebreo : pre-escolar, primaria, bachillerato",,,,Español,Colombia,Cali,,Colegio Hebreo Jorge Isaac,,XX,XX,1990,?,,,,/,semestral,,
Noticiero,,,,Español,Colombia,Bogotá,,Comité Ejecutivo de la Gran Logia de Distrito 23 de la B'nai B'rith,,XX,XX,19XX,,,,,/,,,
Notihertzl,,,,Español,Colombia,Medellín,,Colegio Theodoro Hertzl ,,XX,XX,1993,,,,,/,,educación,
Nuestra opinión : revista de los universitarios y profesionales judios en Colombia,,,Mario Sinay; Evelyn Drezner; David Liffman; David Slomka; Alberto Kadosh,Español,Colombia,Bogotá,Apartado Aereo 101741,Centro Universitario Hebreo,magazine,03,XX,1988,,,,,/,,juventud universitaria,
Nuestra Tribuna,,,,Español,Colombia,Bogotá,,Centro Israelita de Bogotá,,XX,XX,1933,?,,,,/,,,
Nuestra Tribuna,,,Jorge Michonik - director; Jaime Fainboim - redactor,Español,Colombia,Bogotá,Apartado 699,Federación Hebrea de Colombia,magazine,XX,XX,1932,?,,,,/,monthly,general,
Nuestro boletín ,,,,Español,Colombia,Bogotá,,"B'nai B'rith. Distrito XXIII (Bogotá, Colombia). Relaciones Humanas.",bulletin,06,XX,1995,,,,,/,quarterly,,
Nuevo Ideal,,,,Español,Colombia,Bogotá,,"Confederación de Juventudes
Hebreas de Colombia",,XX,XX,1960,?,,,,/,,,
Nuevos Horizontes,,,,Español,Colombia,Medellín,,Colegio Theodoro Hertzl,,XX,XX,1960,,,,,/,,educación,
Renacimiento,,,Hadar Bibliowicz - director,,Colombia,Bogotá,,Hashomer Hatzair en Colombia,magazine,XX,XX,1966,,,,,/,,sionista socialista,
Revista Bet El,,,,Español,Colombia,Barranquilla,,Centro Israelita Filantrópico,magazine,XX,XX,1994,,,,,/,,,
Revista Cultural de la Embajada de Israel en Colombia,,,,Español,Colombia,Bogotá,,Embajada de Israel,magazine,XX,XX,198X,,,,,/,,,
Revista Digital Hashavúa Bogotá,,,Raquel Celnik de Goldschmidt,Español,Colombia,Bogotá,Calle 94 # 9-51 apartamento 705 ,,magazine,05,XX,2005,,,,,/,weekly,general,
Revista juvenil Tzivot Hashem,,,,Español,Colombia,Barranquilla,,Lubavitch Colombia,magazine,XX,XX,1991,,,,,/,,juventud jabad,
Revista Vida y costumbre de los países,,,Ignacio Arturo Torres Puerta - diretor,Español,Colombia,Cali,Calle 62,Centro Israelita de Beneficencia ,magazine,XX,XX,1960,,,,,/,monthly,cultural,
Rishonim,,,,Español,Colombia,Bogotá,,Ken Jalutziano Mordejai Anilevich,,XX,XX,1956,,,,,/,,juventud sionista,
Rundschau. Deutsche Zeitung für Kolumbien,,Periodico Columbo Aleman,Erwin Solomon - ed,"Alemán,Español",Colombia,,,,newspaper,07,XX,1958,,,,,/,,,"tomado de: The German Language press of the Americas, by Karl Arndt and May Olson. V.2 1973 p.290. es judio?"
Salomón,,,Kito Schwartz - editor,Español,Colombia,Bogotá,Carrera 7,Salomón,magazine,08,XX,1999,,,,,/,,general,
Sefaradí al habla,,,,Español,Colombia,,,,,,,,,,,,,,,
Shalom Israel,,,,Español,Colombia,Barranquilla,,B'nai B'rith. Capítulo de Baranquilla,,XX,XX,199X,,,,,/,,,
Shaná Tová,,,,Español,Colombia,Barranquilla,,B'nai B'rith. Capítulo de Barranquilla,,09,XX,1994,,,,,/,,,
Shehejeyanu,,,,Español,Colombia,Providencia,,,,10,XX,1997,,,,,/,,,
Sinai,,,,Español,Colombia,Cali,,Centro Israelita,,,,,,,,,/,,,
Technion,,,,Español,Colombia,Bogotá,,Sociedad Technion de Colombia,,XX,XX,195X,,,,,/,,,
Tel jai : organo de difusión de Or Jadash Tnuat Noar,,,Paul Chamah,Español,Colombia,Medellín,Apartado Postal 4702,Or Jadash Tnuat Noar,bulletin,05,XX,1991,,,,,/,,juventud,
Tikvah,,Organo informativo ,,Español,Colombia,Cali,,Centro Israelita de Beneficencia,,XX,XX,1959,?,XX,XX,1974,?,,,
Unión,Yahad,Vocero informativo y de Opinión al servicio de la comunidad hebrea de Cali y de Colombia,,Español,Colombia,Cali,,,,XX,XX,19XX,,,,,/,monthly,,
Voz de la Juventud,,,,Español,Colombia,,,"Juventud Judía de Colombia -
Organización Mundial de
Estudiantes Judίos ",,XX,XX,1950,,,,,/,,,
,,,,,,,,,,,,,,,,,,,,
אונזער טריבונע : ארגאן פון דער אידישער פעדעראציע אין קאלאמביא ... ,,,Jaime Fainboim,Idish,Colombia,Bogotá,Apartado 699,Federacion Hebrea de Colombia,magazine,06,XX,1936,,,,,/,monthly,,
אידישע נייעס ביולעטין באגאטא קאלאמביא,Idishe neyes byuletin Bogaṭa Colombia,,Azriel Tselnik,Idish,Colombia,Bogotá,,,bulletin,XX,XX,194X,,,,,/,weekly,,
אידישער צענטער פון באגאטא,Idisher tsenter fun Bogota,,,Idish,Colombia,Bogotá,,,,XX,XX,1949,,,,,/,,,
אינפארמאציע ביולעטין,Informatsye byuletin,Boletin informativo,,Idish,Colombia,Bogotá,,Tsienistn revizyonistn fun Kolombya,bulletin,XX,XX,1947,,,,,/,,sionista revisionista,
ביולעטין פון שול אוו דערציאונג,Byuleṭin fun shul un dertsiung,Boletin informativo del Colegio Hebreo en Bogota,,Idish,Colombia,Bogotá,,העברעאיש־אידישער שול אין באגאטא,bulletin,XX,XX,1948,,,,,/,,educacion,
ציוניסטן רעוויזיאניסטן פון קאלאמביע : אינפארמאציע ביולעטין,Tsienisṭn reṿizyonisṭn fun Ḳolombye : informatsye byuleṭin,,,"Idish,Español",Colombia,Bogotá,,,bulletin,XX,XX,1947,?,,,,/,mensual,sionista ,
"שנתון בית הספר / בית-הספר ""קולומבו-עברי",,,,Hebreo,Colombia,Bogotá,,Colegio Colombo Hebreo,annual,,,,,,,,,,educacion,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
