Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Mes de Inicio,Dia de Inicio,Año de Inicio,Año de Inicio Modificador,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas
Abot ubanim,,,,Español,Ecuador,,,,Boletín,XX,XX,2002,?,,,,/,,Infantil,
El INformativo,,,"Pablo Denenberg, Alberto Dorfzaun, Nora Eliscovich, Avi Grun, Alejandro Mlynski, Paul Rozenberg, Pedro Steiner - consejo editorial",Español,Ecuador,Quito,P.O.Box 1703800,Comunidad Judía del Ecuador,Revista,XX,XX,199X,,,,,/,monthly,,
El mundo de Israel,,,Mona Mansour - ed,Español,Ecuador,Quito,Av. 12 de Octubre y Fco. Salazar,Embajada de Israel,Boletín,11,XX,2001,,,,,/,irregular,Sionista,
"Halbmonatsschrift der ""Asociación de Beneficencia Israelita"" und Mitteilungsblatt der Comunidad de Culto Israelita",,Informaciones : revista Israelita,,"Alemán,Español",Ecuador,Guayaquil,,"Comunidad de Culto Israelita, Guayaquil.",,,,,/,,,,/,,,
Horizontes : informativo del Colegio Alberto Einstein,,,Benjamin Tobar,Español,Ecuador,Quito,Av. Diego Vásquez de Cepeda N77-157,Colegio Alberto Einstein,Anuario,XX,XX,197X,,,,,/,annual,Escolar,
Informaciones para los inmigrantes israelitas,,,Siegfried Schwind - editor,"Alemán,Español",Ecuador,Quito,,Asociación de Beneficencia Israelita,,03,XX,1940,,02,XX,1945,,bimonthly,Inmigracion,"Originally served as publication of the Asociacion de Beneficicencia israelita Quito only ; starting with 4. Jahr, no. 37, June 1943, also represents the Asociacion de Beneficicencia israelita Guayaquil ."
Informemonos,,,Abraham Grun,Español,Ecuador,Quito,,Asociación Israelita de Quito,,XX,XX,198X,,,,,/,bimonthly,,
Javer mevi javer,,,,,Ecuador,Quito,,Ieshivá Atereth Tzvi,,XX,XX,20XX,,,,,/,,Religioso,
Nosotros,,,,Español,Ecuador,Quito,,Asociación Israelita de Quito,,02,XX,1976,,,,,/,,,
"Revista informativa de las comunidades judias del Ecuador:
hadashot /",,,,Español,Ecuador,Quito,,Asociación Israelita de Quito,Revista,07,XX,1974,,,,,/,,,
Taim,,,,Español,Ecuador,Quito,,No`ar ha-Tsiyoni ,,XX,XX,20XX,,,,,/,bimonthly,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
