Titulo Original,Transliteración,Titulo en Español,editor/director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Mes de Inicio,Día de Inicio,Año de Inicio,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas
Boletin informativo ,,,,Español,Paraguay,Asunción,Azara 959,Amigos Paraguayos de la Universidad Hebrea de Jerusalem,Boletín,XX,XX,1972,,,,,,/,,general,
ha-Razon,Harazon,,,Rumano,Paraguay,Asunción,,ha-Noʻar ha-Tsiyoni,,XX,XX,1946,,,,,,/,,,no se si es judio
Habima,,publicacion sionista mensual,director: Ruben Cegla; editor: Emilio Engelstein; ,Español,Paraguay,Asunción,Simon Bolivar 183,,Diario,07,15,1954,,,,,,/,monthly,sionista,
Hashavua. Boletin de la Comunidad judia del Paraguay ,,,,Español,Paraguay,,,,Boletín,XX,XX,199X,,,,,,/,,general,
Hebraica : semanario de la Unión Hebraica del Paraguay,,,,Español,Paraguay,Asunción,,Unión Hebraica del Paraguay,,XX,XX,1994,,,,,,/,weekly,,
Juventud,,,,Español,Paraguay,Asunción,,Centro Juventud Israelita,,XX,XX,1927,?,2-3 numeros,,,,,,,"tomado de Seiferheld, Los judios en el Paraguay, p.164"
La Union Latina,,,Elie Bloch,,Paraguay,Asunción,,,,02,XX,1904,,1910?,XX,XX,1910,?,,,"tomado de Seiferheld, Los judios en el Paraguay, p.90"
Revista de interés comunitario,,,,Español,Paraguay,Asunción,Gral. Diaz 657,Unión Hebraica del Paraguay,Revista,07,XX,1984,,,,,,/,,comunitaria,
"Revue Commerciale: Finances, Commerce, Industrie, Agriculture, Inmigration",,,director: Elie Bloch; redactor: Henri A. David,Francés,Paraguay,Asunción,,,Revista,XX,XX,1903,,1904,XX,XX,1904,,,comercial,"tomado de Seiferheld, Los judios en el Paraguay, p.90"
,,,,Idish,Paraguay,,,,,,,,,,,,,,,,
