Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,Pais,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Boletin,,,,Español,Perú,Lima,,Asociación de Jóvenes Israelitas ,Boletín,1944?,XX,XX,1944,?,,,,,/,,,,Center for Jewish History CJH (NY)
Boletín Asociación de Ex-alumnos ,,,,Español,Perú,Lima,,"Colegio ""León Pinelo""",Boletín,197?,XX,XX,197X,,,,,,/,,,http://cahjp.nli.org.il/webfm_send/1062,
Boletín cablegráfico: Boletin informativo diario,,Boletín cablegráfico: Boletin informativo diario, Jacobo Landau (fundador); Michael Sieguel (director),Español,Perú,Lima,Jiron de la Union 554,"Agencia Telegráfica Judia,‎ Jewish Telegraphic Agency",Boletín,1935,XX,XX,1935,,,,,,/,daily,,http://www.mjp.org.pe/web3/boletin03.php,Harvard; NLI; Bib Nac Peru
Boletín Hebraica,,,Yaacov Hasson (fundador); Enrique Kalkstein; Alejandro Abramovich,Español,Perú,,,Club Hebraica,Boletín,,,,,,enero 2012,01,XX,2012,,weekly,,"fusionado a partir de Marzo 2012 con el boletín ""El Boletín"" ; http://www.mjp.org.pe/web3/boletin01.php ",http://www.mjp.org.pe/web3/boletin01.php
Boletín informativo,,,,Español,Perú,Lima,,Embajada de Israel,Boletín,1976,XX,XX,1976,,,,,,/,,,,Bib Nac Peru
Boletin informativo diario para la Comunidad Judia del Perù ,,,,Español,Perú,Lima,,,Boletín,2003,XX,XX,2003,,,,,,/,daily,,,NLI
Carta al socio: boletín de la Unión Israelita del Péru,,,,Español,Perú,Lima,,Unión Israelita del Péru,Boletín,marzo 1989,03,XX,1989,,,,,,/,,,,
Cuadernos Peruanos - Israelies,,,Emilio Marazzani Mindreau - editor,Español,Perú,Lima,Lloque Yupanqui 1084,Cuadernos Peruano-Israelies ,Diario,1962,XX,XX,1962,,,,,,/,quarterly,cultural,http://www.mjp.org.pe/web3/boletin02.php,Harvard; Center for Jewish History CJH (NY); NLI
Ecos,,,,Español,Perú,,,Federación Sionista del Perú ,,1970,XX,XX,1970,,,,,,/,,,http://cahjp.nli.org.il/webfm_send/1062,
Educación/Hinukh: revista informativa ,,revista informativa annual,Leon Trahtemberg,Español,Perú,Lima,Los Manzanos 610,"Colegio ""León Pinelo""",Diario,1984,XX,XX,1984,,,,,,/,quarterly,escolar,,Harvard; NLI
Educando,,,,Español,Perú,Lima,,"Colegio ""Leon Pinelo""",,1984,XX,XX,1984,,,,,,/,bimonthly,,,
El Boletín : publicación oficial de la comunidad judía del Perú,,,,Español,Perú,,,,Boletín,23 mach 2012,03,23,2012,,,,,,/,weekly,comunitaria,http://www.mjp.org.pe/web3/boletin00.php,
 El Pionero,,,,Español,Perú,Lima,,"Colegio ""León Pinelo""",Boletín,196?,XX,XX,196X,,,,,,/,,,http://cahjp.nli.org.il/webfm_send/1062,
Hayardén,,,,Español,Perú,Lima,,Movimiento Betar,,195?,XX,XX,195X,,,,,,/,,,http://cahjp.nli.org.il/webfm_send/1062,
Informativo comunitario,,,,Español,Perú,Lima,,,Boletín,197?,XX,XX,197X,,,,,,/,,,,Harvard
Jazak veematz‎ :‎ vocero de la juventud judia peruana,,,Pascual Goldin - redactor,Español,Perú,Lima,,Union Maccabi Universal. Seccion Peruana,Diario,1935,XX,XX,1935,,1937?,XX,XX,1937,?,monthly,general,,NLI
"Juntos : semanario de informacón , distracción y cultura para la comunidad judia del Perú",,,Enrique Kalkstein,Español,Perú,,,,Boletín,11 nov. 2011,11,11,2011,,,,,,/,,,http://www.mjp.org.pe/web3/boletin13.php,
Kol Israel,,,Jacobo Gomberoff,Español,Perú,Lima,,,Diario,1962,XX,XX,1962,,,,,,/,,,"tomado de Trahtemberg, Leon: Los judios de lIma y las provincias del peru, p. 7",
Kol Masorti,,,,Español,Perú,Lima,,Asociación Judía de Beneficencia y Culto,,may 2000,02,XX,2000,,,,,,/,weekly,,,UCLA
La Antorcha,,boletín crítico informativo de la Juventud Judía Vanguardista,Jean Rottman.- Fundador y editor,,Perú,Lima,,Juventud judía vanguardista (J.J.V). ,Boletín,october 1945 ,10,XX,1945,,,,,,/,,,http://www.mjp.org.pe/web3/boletin04.php,Bib Nac Peru
La Unión,,organo informativa oficial de la Asociación Judía del Perú,Directores: Leopoldo Kahn ; Carlos Eskenazi; Hoskel Vurnbrand; Jacobo Kapilivsky ,Español,Perú,Lima,Casilla 1943,Asociación Judía del Perú,Diario,june 1976,06,XX,1976,,,,,,/,monthly,,http://www.mjp.org.pe/web3/boletin05.php,Harvard; NLI
La voz de Hebraica,,,Leon Rosler,Español,Perú,Lima,Pachacutec 915,Asociación Cultural Deportiva y Social,Boletín,1963?,XX,XX,1963,?,,,,,/,,deportiva,,Harvard
La Voz Israelita,,semanario independiente,R. Saiman - administrador; A.S. Heller - redactor,"Español,Idish",Perú,Lima,Jiron Arica 560,,Revista,2 octubre 1933; 2da epoca: 1949,10,02,1933,,1947; 2da epoca: 1949,XX,XX,1947,,weekly,,http://www.mjp.org.pe/web3/boletin06.php,Harvard; NLI
La voz israelita copy,,semanario independiente,R. Saiman - administrador; A.S. Heller - redactor,"Español,Idish",Perú,Lima,Jiron Arica 560,,Revista,2 octubre 1933; 2da epoca: 1949,XX,XX,1949,,1947; 2da epoca: 1949,XX,XX,1949,,weekly,,http://www.mjp.org.pe/web3/boletin06.php,Harvard; NLI
La voz sefaradita,,,,Español,Perú,,,Sociedad de Beneficencia Israelita Sefardí.,,3 may 2007,05,03,2007,,,,,,,,,http://www.mjp.org.pe/web3/boletin07.php,
Menoráh,,,Boletín del Betar Ken Lima,Español,Perú,Lima,,Movimiento Betar ,,1948,,,,,,,,,,,,http://cahjp.nli.org.il/webfm_send/1062,
Nosotros,,revista mensual israelita,Roberto Feldman Tevez - director,Español,Perú,Lima,Gallos 283,Unión israelita del Péru,Diario,1931,XX,XX,1931,,1971?,XX,XX,1971,?,biweekly,general ,http://www.mjp.org.pe/web3/boletin08.php,"Harvard; Center for Jewish History CJH (NY); NLI, Wiener Library"
Nuestro Mundo: publicación mensual dedicada a cuestiones judías del pais y el extranjero,,,Ruth Feldman Cabada - directora; Roberto Feldman Tevez - redactor ,Español,Perú,Lima,Jiron Moquegua no.284,Nuestro Mundo,Revista,enero 1970,01,XX,1970,,,,,,/,monthly,general,,Harvard; NLI
Para su información,,,,Español,Perú,Lima,,Oficina de Relaciones Humanas de la Comunidad Judia del Peru,Boletín,1969,XX,XX,1969,,,,,,/,,general,,Harvard
Pinelito,,,,Español,Perú,Lima,,Colegio León Pinelo,,1957,XX,XX,1957,,,,,,/,,juvenil,http://cahjp.nli.org.il/webfm_send/1062,
Reflexión ,,,,Español,Perú,Lima,,Beit Jabad Peru,,1900s,XX,XX,19XX,,,,,,/,,jabad,,UCLA
Repertorio Hebreo,,Revista Judia de Cultura Internacional,"Miguel Adler (Novoselitz,Rumania)",Español,Perú,Lima,Calle Negreiros 567 (Altos) Apartado 1925,,Diario,abril/mayo 1929,05,XX,1929,~,,,,,/,3 numeros,,fuente: Moshe Nes El,Center for Jewish History CJH (NY)
Respuestas y preguntas,,,,Español,Perú,,,Juventud Judía Universitaria Peruana,Boletín,octubre 1973,10,XX,1973,,,,,,/,,,,Harvard
Sabra : boletín informativo de la Embajada de Israel,,,,Español,Perú,Lima,,Embajada de Israel,Boletín,1995,XX,XX,1995,,,,,,/,irregular,,,NLI; Bib Nac Peru
Shofar: organo informativo de la Unión Israelita del Péru ,,,Isaac Mekler - director; Enrique Kalkstein - editor,Español,Perú,Lima,Casilla 1943,Unión Israelita del Péru,Diario,October 1992,10,XX,1992,,,,,,/,quarterly,,http://www.mjp.org.pe/web3/boletin11.php,NLI
