Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Afilantis,,Boletín independiente para las colectividades israelitas en el Uruguay,,Español,Uruguay,Montevideo,,Asociación Filantrópica Israelita del Uruguay,Boletín,,,,,,,,,,/,,filantropia,,Harvard; Center for Jewish History CJH (NY)
Alia,,En marcha,Dr. Jacobo Hazán (h),Español,Uruguay,Montevideo,,Federación Juvenil Sionista ,Revista,1945,XX,XX,1945,,1951,XX,XX,1951,,,juventud sionista,,Harvard
Alia,,Boletin Informativo,"Mauricio Furman, Jacobo Politi,  José Iero Jerozolimski - directores; Samuel Karp - redactor",Español,Uruguay,Montevideo,Avda. Garzon  1633,Federación Juvenil Sionista del Uruguay,Boletín,3era epoca: junio 1960,06,XX,1960,,,,,,/,,juventud sionista,Tercera Epoca,Harvard
Alon pedagogui,,,,Español,Uruguay,Montevideo,,Federación juvenil sionista. Central Pedagógica.,,1900s,XX,XX,19XX,,,,,,/,,educación,,Harvard
Amanecer,,,Lea Sestieri de Scazzochio - direcctora,Español,Uruguay,Montevideo,Calle Buenos Aires no.329,Comunidad Israelita Sefaradí ,Revista,mayo 1942,05,XX,1942,,,,,,/,,sefaradi,,Harvard; HUC; Center for Jewish History CJH (NY); NLI
Amigos Uruguayos,,,,Español,Uruguay,Montevideo,,Amigos Uruguayos de la Universidad Hebrea de Jerusalem,,2015?,XX,XX,2015,?,,,,,/,,,,Bib Nac Uruguay
"América : Revista Continental Judía para la Difusión de la Cultura Americana
",,,,,Uruguay,Montevideo,,,,mayo 1944,05,XX,1944,,,,,,/,,,,Bib Nac Uruguay
Boletin,,,,Español,Uruguay,Montevideo,, Instituto Ariel Hebreo - Uruguayo,,1983,XX,XX,1983,,,,,,/,,,,Bib Nac Uruguay
Boletín de la Embajada de Israel,,,,Español,Uruguay,Montevideo,,Embajada de Israel,Boletín,1979,XX,XX,1979,,,,,,/,,sionista,,Harvard; Bib Nac Uruguay
Boletín informativo : selección de noticias del mundo judío ,,,,Español,Uruguay,Montevideo,,Grupo Dor Tzair del Fondo de Ayuda Social,Boletín,1982,XX,XX,1982,,,,,,/,,,,Bib Nac Uruguay
Boletin Informativo ,,,,Español,Uruguay,Montevideo,,Comunidad Israelita Sefaradi del Uruguay,Boletín,agosto 1963,08,XX,1963,,,,,,/,,sefaradies,,NLI
Boletín informativo ,,,,Español,Uruguay,Montevideo,,Federación Universitaria Sionista del Uruguay,,1984,XX,XX,1984,,,,,,/,,sionista,,Bib Nac Uruguay
Boletín informativo de la Comunidad Israelita de habla alemana en el Uruguay,vease: Mitteilungsblatt der Synagogen-Gemeinde Montevideo,,,Alemán,Uruguay,Montevideo,,,Boletín,1938 marzo ,03,XX,1938,,,,,,/,,comunitaria,,NLI
Boletín informativo del Asilo de Ancianos Israelitas del Uruguay,,,,Español,Uruguay,Montevideo,,Asilo de Ancianos Israelitas del Uruguay,Boletín,1967,XX,XX,1967,,,,,,/,,ancianos,,Harvard
Boletin Informativo - Voz Semanal,,,,"Español,Alemán",Uruguay,Montevideo,,Nueva congregacion Israelita de Montevideo,Boletín,1938,XX,XX,1938,,,,,,/,,,,Center for Jewish History CJH (NY); Wiener Library
Boletín Mensual de la Comunidad Israelita del Uruguay,,,,,Uruguay,Montevideo,,,,,,,,,,,,,/,,,,
"Boletin ""Ort""",,,,Español,Uruguay,Montevideo,,,Boletín,1947,XX,XX,1947,,,,,,/,,,,Harvard; Center for Jewish History CJH (NY)
Circulo de reflexion judia  ,,,Julio Bension - cordinador,Español,Uruguay,Montevideo,Rio Negro 1308,Comité Central Israelita del Uruguay,Boletín,junio 1982,06,XX,1982,,,,,,/,,cultural,,NLI
Contacto,,Boletin informativo del Keren Hayesod - Uruguay,,Español,Uruguay,Montevideo,,Keren Hayesod Uruguay,,1990s,XX,XX,199X,,,,,,/,,sionismo,,Harvard
Contextos : revista al tema judío,,,,Español,Uruguay,Montevideo,, Centro de Estudios Judaicos ,,verano 1988; 2da epoca: 1993,22,XX,1988,,verano 1989; 2da epoca: ,22,XX,1989,,trimestral,,,Harvard; Center for Jewish History CJH (NY); Stanford; UCLA; Yale; LoC; Uflo; Univ. Notre Dame; NYPL; HUC; Utexas; NLI; Bib Nac Uruguay
Contextos : revista al tema judío copy,,,,Español,Uruguay,Montevideo,, Centro de Estudios Judaicos ,,verano 1988; 2da epoca: 1993,XX,XX,1993,,verano 1989; 2da epoca: ,,,,/,trimestral,,Segunda Epoca,Harvard; Center for Jewish History CJH (NY); Stanford; UCLA; Yale; LoC; Uflo; Univ. Notre Dame; NYPL; HUC; Utexas; NLI; Bib Nac Uruguay
Crisol,,,,Español,Uruguay,Montevideo,,Comunidad Israelita Sefaradí,,1900s,XX,XX,19XX,,,,,,/,cada 2 meses,sefaradies,,"UCLA; Harvard, NLI"
Cuadernos,,,,Español,Uruguay,Montevideo,,Congreso Judio Mundial,Revista,1968,XX,XX,1968,,,,,,/,,cultural,,Harvard
Cuadernos Anilevich,,,,Español,Uruguay,Montevideo,,Ediciones Mordejai Anilevich,,1900s,XX,XX,19XX,,,,,,/,,,,UCLA; Harvard
Cuadernos para el madrij,,,,Español,Uruguay,Montevideo,Cipriano Payan 3030,Majleket Noar ve Hejalutz,Revista,1980?,XX,XX,1980,?,,,,,/,,educación,,UCLA; Harvard
Darkenu,,,,Español,Uruguay,Montevideo,,Irgun Bney Akiva B'Uruguay,,1900s,XX,XX,19XX,,,,,,/,,judios ortodoxos,,Harvard
Das andere Deutschland : la otra alemania : organo de los alemanes democratios de America del Sur,,, Enrique Groenewald 1909-1957 editor,Alemán,Uruguay,Montevideo,,,,1944,XX,XX,1944,,,,,,/,,,,Center for Jewish History (incluirlo?)
Decimos : periodico quincenal contra el antisemitismo,,,"Boleslao Levin - redactor;  después, Bernabé Sifre","Alemán,Español",Uruguay,Montevideo,Julio H. y Obes 1170,,,15 diciembre 1936,12,15,1936,,,,,,/,,,En Oct 1938 se editaría en yidish (Mir Zogn),Harvard; Center for Jewish History CJH (NY)
"Desafío :
vocero del judaismo progresista uruguayo",,,,Español,Uruguay,Montevideo,,organo de Hativa Anilevich,,,,,,,,,,,/,,,,UCLA
Dor Jadash ,,,,Español,Uruguay,Montevideo,, Departamento de Prensa del Hashomer Hatzair,,1939,XX,XX,1939,,,,,,/,,,,Bib Nac Uruguay
En comunidad : revista intercomunitaria judía uruguaya,,,Michel Cohen,Español,Uruguay,Montevideo,,Comunidad Israelita del Uruguay,,agosto 2001,08,XX,2001,,,,,,/,,comunitaria,,Utexas; Bib Nac Uruguay
En marcha,,,,Español,Uruguay,Montevideo,,Federación Juvenil Sionista del Uruguay,,1900s,XX,XX,19XX,,,,,,/,,juventud sionista,,Harvard
Entérese,,,,Español,Uruguay,Montevideo,,"Asociación Cultural Israelita ""Dr. Jaime Zhitlovsky""",,198?,XX,XX,198X,,,,,,/,,,,Bib Nac Uruguay
Eslabón,,,Werner Gutkind,,Uruguay,Carmelo,19 de Abril 567 (Dep Colonia),Centro Juvenil Sionista de Carmelo,,1 agosto 1948,08,01,1948,,,,,,/,,juventud,,
Fraternidad,,,,Español,Uruguay,Montevideo,,B’nai B’rith del Uruguay,,1982,XX,XX,1982,,,,,,/,,,,Bib Nac Uruguay
Gaceta Israelita,,,Moisés Gerber,Español,Uruguay,,,,Diario,Noviembre 1953,11,XX,1953,,1956,XX,XX,1956,,semanal,,,UCLA; Harvard
Gemeindeblatt der Synagogen-Gemeinde in Montevideo,,Boletin informativo de la Nueva Comunidad israelita en el Uruguay,,Alemán,Uruguay,Montevideo,Maldonado 1130,Nueva Comunidad Israelita en el Uruguay,Boletín,marzo 1939?,03,XX,1939,?,,,,,/,mensual; semanal,,"redactado por Fritz Marbourg. Desde Feb 1939, se encargaría Georg Freund y desde Jun 1939 será semanario",Harvard
Hakol,,,,Español,Uruguay,Montevideo,,Hazit ha-no`ar ha-derom Amerikait,,1900s,XX,XX,19XX,,,,,,/,,juventud,,Harvard
Hebraica,,Revista ilustrada de Israel para América Latina, Dir. Jack Steinberg Lebental,Español,Uruguay,Montevideo,,,,1949?,XX,XX,1949,?,,,,,/,,,,Bib Nac Uruguay
Hebraica Macabi ,,Boletin mensual de la Asociacion Hebraica y Macabi del Uruguay,,Español,Uruguay,Montevideo,Soriano 1184, Asociacion Hebraica y Macabi del Uruguay,Boletín,julio 1963,07,XX,1963,,,,,,/,monthly,comunitario,,Harvard
Identidad ,,,,Español,Uruguay,Montevideo,,Grupo Don Tzair del Fondo de Ayuda Social de la Comunidad Israelita del Uruguay,,1983,XX,XX,1983,,,,,,/,,,,Bib Nac Uruguay
Identidad : mensuario pluralista,,,,Español,Uruguay,Montevideo,,,Boletín,1994?,XX,XX,1994,?,,,,,/,mensual,,,Harvard; International Institute of Social History (IISH); Bib Nac Uruguay
Iedion ,,,,Español,Uruguay,Montevideo,,Escuela Integral Hebreo Uruguaya,,1981,XX,XX,1981,,,,,,/,,juventud,,Bib Nac Uruguay
Informations bulletin der Agudas Isroel von Uruguay,,,,Alemán,Uruguay,Montevideo,,Agudat Israel,Boletín,,,,,,1943,XX,XX,1943,,,judios ortodoxos,,Harvard
Informativo OSU ,,,,Español,Uruguay,Montevideo,,Organización Sionista del Uruguay,Boletín,1982,XX,XX,1982,,,,,,/,,,,Bib Nac Uruguay
Iniciativa ,,,,Español,Uruguay,Montevideo,,Comunidad Israelita de Habla Hungara,Boletín,1994,XX,XX,1994,,,,,,/,,hungaros,,Harvard
Israel,,,Abraham Brisgal,Español,Uruguay,Montevideo,,,,1923/24?,XX,XX,1924,?,,,,,/,,sionista,,
Iton,,,,Español,Uruguay,Montevideo,,Instituto Yavne,,1992,XX,XX,1992,,,,,,/,,juventud,,Harvard
Itus nachrichten,,,,Alemán,Uruguay,Montevideo,,"Club Deportivo ""ITUS""",Boletín,septiembre 1949 ,09,XX,1949,,,,,,/,,,,Harvard
Jai ,,,,Español,Uruguay,Montevideo,,Centro Lubavitch del Uruguay,,1991,XX,XX,1991,,,,,,/,,lubavitch,,Bib Nac Uruguay
Jai Uruguay - Israel,,,,Español,Uruguay,Montevideo,,Jai Uruguay,,enero-febrero 2000,02,XX,2000,~,,,,,/,trimestral,,Continuación de: Uruguay Israel.,Bib Nac Uruguay
Jazit drom Hanoar Americait,,,,Español,Uruguay,Montevideo,,Nueva Congregación Israelita,,1900s,XX,XX,19XX,,,,,,/,,juventud,,Harvard
Jerusalén : revista al servicio de la colectividad israelita en Uruguay,,,,Español,Uruguay,Montevideo,,,Revista,1992,XX,XX,1992,,,,,,/,monthly,comunitario,,Harvard; Bib Nac Uruguay
"Judíos, hoy, aquí",,,,Español,Uruguay,Montevideo,,B'nai B'rith del Uruguay. Capítulo Juvenil.,,1968,XX,XX,1968,,,,,,/,,juventud,,Harvard
Kadimah,,,"primer director Nelson Goldstein, sucediéndole Jack Sapolinsky, Salo Wainraich, Abraham Dickstein, Henyk Weitzenfeld y Jaime Sznajder.",,Uruguay,,,Union Universitaria Kadimah,,marzo 1940,03,XX,1940,,"Publicó casi 30 números, a lo largo de 12 años",XX,XX,1952,?,,juventud universitaria,,
Kef,,,,Español,Uruguay,Montevideo,,,Revista,agosto 1990,08,XX,1990,,,,,,/,bimonthly,,,Harvard; UCLA
Kehila,,,,Español,Uruguay,Montevideo,,Comunidad Israelita del Uruguay,,julio 1997,07,XX,1987,,,,,,/,bimensual,,continuacion de Kehilati,Bib Nac Uruguay
Kehilatí : una publicación hecha en comunidad ,,,,Español,Uruguay,Montevideo,,Comunidad Israelita del Uruguay,,julio 2009,07,XX,2009,,,,,,/,bimensual,,continua como Kehila,Harvard; Bib Nac Uruguay
Kesher,,Contacto,,Español,Uruguay,Montevideo,,Federación Universitaria Sionista del Uruguay,,1986,XX,XX,1986,,,,,,/,,juventud,,Harvard: Bib Nac Uruguay
Kidmah,,,Shimshon Halpern (despues Moric Kohn),,Uruguay,,,Hashomer Hatzair,,1946,XX,XX,1946,,1947,XX,XX,1947,,,,,
