Título original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Bereshit,,Organo divulgativo del Capítulo juvenil Netzaj al servicio de la juventud Judía Venezolana,,Español,Venezuela,,,Bʼnai Bʼrith Juvenil,Boletín,,,,,,,,,,,,juventud,,Harvard
BIS = Boletín informativo Sionista,,,,Español,Venezuela,Caracas,,Consejo Sionista Latinoamericano,Boletín,agosto 1989,08,XX,1989,,,,,,/,, sionista,,Harvard; NLI
Boletín,,,,Español,Venezuela,Caracas,Aparatdo 14452,Comité Venezolano de estudio sobre la situación de la minoría judía en la U.R.S.S.,Boletín,17 febrero 1976,02,17,1976,,,,,,/,,,,Harvard
Boletín semanal de noticias,,,,Español,Venezuela,Caracas,,Federación Sionista de Venezuela. Centro de Información y Cultura Judaica,Boletín,197?,XX,XX,197X,,,,,,/,,sionista,,Harvard
Calendario,,,,Español,Venezuela,Caracas,,Federación Sionista de Venezuela. Centro de Información y Cultura Judaica,Boletín,197?,XX,XX,197X,,,,,,/,,sionista,,Harvard
Cara a cara,,,,Español,Venezuela,Caracas,,Federación Sionista de Venezuela. Centro de Información y Cultura Judaica,Boletín,197?,XX,XX,197X,,,,,,/,,sionista,,Harvard
Centro de Información y Cultura Judaica,,,,Español,Venezuela,Caracas,,Centro de Información y Cultura Judaica,,197?,XX,XX,197X,,,,,,/,,sionista,,Harvard
Convergencia,,"una vision pluralista de Israel, Medio Oriente y el mundo judio ",Beatriz Rittigstein - directora,Español,Venezuela,Caracas,Av. J. Washington. ,Federación Sionista de Venezuela. Centro de Información y Cultura Judaica,Diario,marzo 1992,03,XX,1992,,,,,,/,,sionista,,UCLA; Harvard; NLI
Del mundo Bnai Brith,,,,Español,Venezuela,Caracas,,Bnai Brith,,198?,XX,XX,198X,,,,,,/,,sionista,,Harvard
Diálogo,,,,Español,Venezuela,Caracas,Apartado 5254,Izquierda Judía Universitaria,Boletín,abril 1970,04,XX,1970,,,,,,/,,politica,,Harvard
DimenSión xxiii,,,Miriam Freilich - dir,Español,Venezuela,Caracas,,B'nai B'rith. Distrito XXIII,Boletín,agosto 1988,08,XX,1988,,,,,,/,,comunitaria,,Harvard 
Documentos de periscopio,,,,Español,Venezuela,Caracas,,"
Federación Sionista de Venezuela. Centro de Información y Cultura Judaica",Boletín,197?,XX,XX,197X,,,,,,/,,sionista,,Harvard
Dugmah,,"órgano divulgativo del Depto. de Juventud de Hebraica, Macabi Tzair",,Español,Venezuela,,,Macabi Tzair (Centro Social y Deportivo Hebraica),,1985,XX,XX,1985,,,,,,/,,juventud,,UCLA
El Mundo Israelita,,,Moises Sananes,Español,Venezuela,Caracas,,,Diario,marzo 1943,03,XX,1943,,,,,,/,weekly,general,,
Enfoque : boletín informativo del Hashomer Hatzair de Venezuela,,,,Español,Venezuela,Caracas,Apartado Postal  no.3018,Enfoque,Boletín,1989,XX,XX,1989,,,,,,/,,juventud,,NLI
"Esperanza : revista de la organización Hebrea, Damas de Hatikvah",,,,Español,Venezuela,Caracas,,Damas de Hatikvah,,1900s,XX,XX,1900,%,,,,,/,annual,mujeres,,UCLA; Umichigan
Foco,,,,Español,Venezuela,Caracas,Apartado Postal 68095,Embajada de Israel,Boletín,198?,XX,XX,198X,,,,,,/,,sionista,,Harvard; NLI
Haguesher,,boletín informativo de la Federación Sionista de Venezuela,Walter Czenstochowski - redaccion y direccion,Español,Venezuela,Caracas,,Federación Sionista de Venezuela,,1962,XX,XX,1962,,,,,,/,annual,sionista,,UCLA; NLI
Hebraica,,,,Español,Venezuela,Caracas,,Junta Directiva de Hebraica S.C,,1970s,XX,XX,197X,,,,,,/,quaterly,deportivo,,UCLA
Hebraica,,un lugar para todos,,Español,Venezuela,Caracas,,Hebraica Sociedad Civil y Centro Social Deportivo,,1990s,XX,XX,199X,,,,,,/,,deportivo,,UCLA
Impulso,,órgano de la Comunidad Hebrea,"Alicia Zimand, Mario Leiderman & Caty Menashe - directores",Español,Venezuela,Maracaibo,Ave. 11. Edificio Lujan,,Revista,1959,XX,XX,1959,,,,,,/,,social,,Harvard
Israel : Revista Mensual Literaria,,,Saul Angel,Español,Venezuela,Caracas,Apartado 233,,Revista,marzo 1933,03,XX,1933,,,,,,/,monthly,literaria,,Center for Jewish History CJH (NY): HUC
La Prensa Israelita,,,,Español,,,,,,,,,,,,,,,,biweekly,,"tomado de : American Jewish Year Book v.69, 1968, p.436",
Lo que su diario no cuenta …,,,,Español,Venezuela,Caracas,,Federación Sionista de Venezuela. Centro de Información y Cultura Judaica.,Boletín,197?,XX,XX,197X,,,,,,/,,politica,,Harvard
Luminarias,,,Pablo Goldstein - dir,Español,Venezuela,Caracas,"Av. Marques del Toro, 9",Unión Israelita de Caracas,Boletín,1977,XX,XX,1977,,,,,,/,,general,,Harvard
Maguén : boletín mensual de la Asociación Israelita de Venezuela,,Escudo,director Moises Garzon Serfaty,Español,Venezuela,Caracas,"Avda. Principal de Mariperez, Los Caobos",Asociación Israelita de Venezuela.; Centro de Estudios Sefardíes de Caracas,Boletín,junio 1970,06,XX,1970,,1973,XX,XX,1973,,monthly,sefaradies,Suspended jun. 1973-sept. 1980,Princeton; UCLA; LoC; UFlo; Harvard; NYPL; HUC; Utexas; Center for Jewish History CJH (NY); NLI
"Magen :
revista trimestral de la Asociación Israelita de Venezuela y del Centro de Estudios Sefardies de Caracas = Escudo.",,Escudo,director Moises Garzon Serfaty,Español,Venezuela,Caracas,"Avda. Principal de Mariperez, Los Caobos",Asociación Israelita de Venezuela y del Centro de Estudios Sefardies de Caracas,Revista,2da epoca: enero/marzo 1981 no. 38; 3era epoca: 2009,,,,,,,,,/,quaterly,sefaradies,Suspended jun. 1973-sept. 1980,Harvard; UCLA; LoC: UFlo; NYPL; HUC; Utxas; IberAMerikanisches institut; Bibl Univ Granada; NLI; 
"Magen :
revista trimestral de la Asociación Israelita de Venezuela y del Centro de Estudios Sefardies de Caracas = Escudo. copy",,Escudo,director Moises Garzon Serfaty,Español,Venezuela,Caracas,"Avda. Principal de Mariperez, Los Caobos",Asociación Israelita de Venezuela y del Centro de Estudios Sefardies de Caracas,Revista,2da epoca: enero/marzo 1981 no. 38; 3era epoca: 2009,XX,XX,2009,,,,,,/,quaterly,sefaradies,Suspended jun. 1973-sept. 1980,Harvard; UCLA; LoC: UFlo; NYPL; HUC; Utxas; IberAMerikanisches institut; Bibl Univ Granada; NLI; 
Medio Oriente confidencial,,,,Español,Venezuela,Caracas,,Federación Sionista de Venezuela. Centro de Información y Cultura Judaica,Boletín,197?,XX,XX,197X,,,,,,/,,politica,,Harvard
Menorah: revista de la fraternidad Hebrea B'nai B'rith de Venezuela,,,Leopoldo Leschner - fundador; Edna  Aizenbeg - redaccion,Español,Venezuela,Caracas,,B'nai B'rith,Revista,1954?,XX,XX,1954,?,,,,,/,,general,"tomado de: Spanish and Portuguese Jews in the Caribbean and the Guianas, M. Arbell",Harvard; JTS; NLI
Noticias,,,Andrea Osyp - redactora,Español,Venezuela,Caracas,"Urb. El Bosque, Av El Carmen ",Cámara de Economía Venezolana-Israelí,Boletín,1988,XX,XX,1988,,,,,,/,weekly,economía,,Harvard
Nuestro Mundo,,,Mario Nassi,Español,Venezuela,Caracas,Avda. Codazzi,"Colegio Moral y Luces ""Herzl-Bialik""",,1962?,XX,XX,1962,?,,,,,/,,escolar,,
Nuevo mundo Israelita,,Semanario al servicio de la comunidad judía de Venezuela,ed: Nestor Garrido; director: Moises Sananes o Jose Salzberg,Español,Venezuela,Caracas,Apartado Postal 14452,Unión Israelita de Caracas,Diario,28 febrero 1973,02,28,1973,,diciembre 1976?,12,XX,1976,?,weekly,comunitario,,UCLA; Harvard; YIVO;  Center for Jewish History CJH (NY); Ucolorado; NLI; Tel Aviv U; Univ of Haifa
Orot la revista del educator judío latinoamericano,,,Eliahu Birnbaum - director,Español,Venezuela,Caracas,,"
Consejo Sionista Latinoamericano",Revista,octubre-noveimbre 1990,,,,,,,,,,,educacion,,NLI
Paginas hebreas,,,,Español,Venezuela,Caracas,,,,195?,XX,XX,1957,,,,,,/,,,"tomado de: Spanish and Portuguese Jews in the Caribbean and the Guianas, M. Arbell",
Paz (Schalom) : revista hebrea de interés general,,,"Isaac Hariton - dir, Ruben Merenfeld - admin",Español,Venezuela,Caracas,Colon A. Cruz Verde 63,,Revista,1945?,XX,XX,1945,?,,,,,/,,general,,Harvard; NLI
Pensamiento judío contemporáneo : la revista de la cultura Judia moderna,,,Bernardo Kliksberg - director,Español,Venezuela,Caracas,Apartado 16004,Consejo Sionista Latinoamericano en Confederación Latinoamericana Macabi,Revista,1981?,XX,XX,1981,?,,,,,/,monthly,sionista,,Harvard; IWO; NLI
Qué decimos nosotros cuando …,,,,Español,Venezuela,Caracas,,Federación Sionista de Venezuela. Centro de Información y Cultura Judaica,Boletín,197?,XX,XX,197X,,,,,,/,,sionista,,Harvard
Reflex-Sión,,revista de pensamiento y divulgacion ,Moises Garzon Serfaty,Español,Venezuela,Caracas,"Avda. Washington, Urb. San Bernardino",Federación Sionista de Venezuela,Revista,199?,XX,XX,199X,,,,,,/,,sionista,,Harvard
Revista literario-cultural,,,,Español,Venezuela,Caracas,,Selecciones Hebreas,,1900s,XX,XX,2000,%,,,,,/,,literaria,,Harvard
Rumbo a tu judaismo,,,Mati Jakubowicz - director,Español,Venezuela,Caracas,Av. J. Washington. ,Organización Jabad Lubavitch de Venezuela,Revista,1990?,XX,XX,1990,?,,,,,/,,jabad,,UCLA; Harvard
Selecciones hebreas: Revista literario-cultural,,,Leon Gruszko,Español,Venezuela,Caracas,Apartado postal 1695,Selecciones Hebreas,Revista,195?,XX,XX,195X,,,,,,/,quincenal,literaria,,Harvard
Union,,,Pynchas Brener,Español,Venezuela,Caracas,AVda. Marquez del Toro,Unión Israelita de Caracas,Diario,8 septiembre 1968,09,08,1968,,1973,XX,XX,1973,,monthly,general,,Harvard; NLI
